id,course_id,course_name,course_dept_id,credits,lecture_hours,practical_hours,tutorial_hours,regulation,course_type,REGULATION,Year,SEMESTER,for_dept,teaching_dept
263,CS23422,Python Programming for Machine Learning,Computer Science & Engineering,2,0,4,0,2023,Laboratory,2023,2,3,Robotics & Automation,Robotics & Automation
264,CS23431,Operating Systems,Computer Science & Engineering,5,3,4,0,2023,LOT,2023,2,4,Information Technology,Information Technology
265,CS23432,Software Construction,Computer Science & Engineering,4,3,2,0,2023,Laboratory,2023,2,4,Information Technology,Information Technology
266,CS23433,Design Thinking for Innovation in Computer Science,Computer Science & Engineering,2,1,2,0,2023,LOT,2023,2,4,Computer Science & Engineering (Cyber Security),Computer Science & Engineering (Cyber Security)
267,CS23511,Theory of Computation,Computer Science & Engineering,4,3,0,1,2023,Theory,2023,3,5,Computer Science & Engineering,Computer Science & Engineering
268,CS23512,Fundamentals of Mobile Computing,Computer Science & Engineering,3,3,0,0,2023,Theory,2023,3,6,Information Technology,Information Technology
269,CS23531,Web Programming,Computer Science & Engineering,3,1,4,0,2023,LOT,2023,3,5,Information Technology,Information Technology
270,CS23532,Computer Networks,Computer Science & Engineering,5,3,4,0,2023,LOT,2023,3,5,Information Technology,Information Technology
271,CS23621,Mobile Application Development Laboratory,Computer Science & Engineering,2,0,4,0,2023,Laboratory,2023,3,6,Information Technology,Information Technology
272,CS23631,Compiler Design,Computer Science & Engineering,4,3,2,0,2023,LOT,2023,3,6,Computer Science & Engineering,Computer Science & Engineering
273,CS23632,Cryptography and Network Security,Computer Science & Engineering,3,2,2,0,2023,LOT,2023,3,6,Information Technology,Information Technology
274,CS23633,Cloud Computing,Computer Science & Engineering,3,2,2,0,2023,LOT,2023,3,6,Computer Science & Engineering,Computer Science & Engineering
275,CS23721,Project Work (Phase - I),Computer Science & Engineering,3,0,6,0,2023,Laboratory,2023,4,7,Robotics & Automation,Robotics & Automation
276,CS23821,Project Work (Phase - II),Computer Science & Engineering,6,0,12,0,2023,Laboratory,2023,4,8,Robotics & Automation,Robotics & Automation
277,CY23131,Chemistry For Electronics Engineering,Chemistry,4,3,2,0,2023,LOT,2023,1,2,Robotics & Automation,Chemistry
278,CY23132,Chemistry for Technologists,Chemistry,4,3,2,0,2023,LOT,2023,1,1,Food Technology,Chemistry
279,CY23223,Engineering Chemistry ,Chemistry,4,3,2,0,2023,LOT,2023,1,2,Mechanical Engineering,Chemistry
280,CY23312,Chemistry for Electronics Engineering,Chemistry,4,3,2,0,2023,LOT,2023,1,2,Mechatronics Engineering,Chemistry
281,CY23312,Chemistry for Technologists,Chemistry,4,3,2,0,2023,LOT,2023,1,1,Food Technology,Chemistry
282,CY23334,Physical and Organic Chemistry,Chemistry,4,3,2,0,2023,LOT,2023,2,3,Chemical Engineering,Chemistry
283,EC23111,Basic Electronics Engineering,Electronics & Communication Engineering,3,3,0,0,2023,Theory,2023,1,1,Mechanical Engineering,Electronics & Communication Engineering
284,EC23131,Electron Devices,Electronics & Communication Engineering,4,3,2,0,2023,LOT,2023,1,1,Electronics & Communication Engineering,Electronics & Communication Engineering
285,EC23232,Digital Logic and Microprocessor,Electronics & Communication Engineering,4,3,2,0,2023,LOT,2023,1,2,Computer Science & Engineering (Cyber Security),Electronics & Communication Engineering
286,EC23242,Principles of Electronics,Electronics & Communication Engineering,3,2,2,0,2023,LOT,2023,1,2,Computer Science & Business Systems,Electronics & Communication Engineering
287,EC23311,Analog Circuits –I,Electronics & Communication Engineering,3,3,0,0,2023,Theory,2023,2,3,Electronics & Communication Engineering,Electronics & Communication Engineering
288,EC23312,Electromagnetic Fields,Electronics & Communication Engineering,3,3,0,0,2023,Theory,2023,2,3,Electronics & Communication Engineering,Electronics & Communication Engineering
289,EC23313,Digital Principles and System Design,Electronics & Communication Engineering,3,3,0,0,2023,Theory,2023,2,3,Electronics & Communication Engineering,Electronics & Communication Engineering
290,EC23314,Analog and Digital Communication,Electronics & Communication Engineering,3,3,0,0,2023,Theory,2023,2,3,Information Technology,Electronics & Communication Engineering
291,EC23321,Analog and Digital Circuits Laboratory,Electronics & Communication Engineering,2,0,4,0,2023,Laboratory,2023,2,3,Electronics & Communication Engineering,Electronics & Communication Engineering
292,EC23331,Microprocessors and Microcontrollers,Electronics & Communication Engineering,4,3,2,0,2023,LOT,2023,1,2,Information Technology,Electronics & Communication Engineering
293,EC23411,Signals and Systems,Electronics & Communication Engineering,3,3,0,0,2023,Theory,2023,2,4,Electronics & Communication Engineering,Electronics & Communication Engineering
294,EC23412,Transmission Lines and Waveguides,Electronics & Communication Engineering,3,3,0,0,2023,Theory,2023,2,4,Electronics & Communication Engineering,Electronics & Communication Engineering
295,EC23413,Communication Theory,Electronics & Communication Engineering,3,3,0,0,2023,Theory,2023,2,4,Electronics & Communication Engineering,Electronics & Communication Engineering
